booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
70,se,654,32536,36297,36297,2,1,2021.06.01 9:44,2021.10.01,2,2,3895,891
71,se,6828,311877,35626,35885,2,1,2021.06.01 9:44,2021.06.11,2,2,3863,906
72,da,3260,311878,35892,35985,2,1,2021.06.01 9:45,2021.08.10,2,2,2086,0
73,da,1474,154506,38369,38397,3,2,2021.06.01 9:46,2021.06.28,2,2,3850,1029
74,da,2639,95744,36112,36112,2,1,2021.06.01 9:49,2021.06.16,2,2,3174,519
75,da,3824,280371,37364,37364,2,1,2021.06.01 9:51,2021.12.10,2,2,3884,561
76,da,1200,311879,36195,36195,4,1,2021.06.01 9:54,2021.08.21,2,2,3517,319
77,da,1474,311880,38369,38397,2,1,2021.06.01 9:56,2021.06.23,6,6,1333,561
78,se,6828,311881,35626,35885,3,1,2021.06.01 9:56,2021.06.07,2,2,4437,906
79,da,1474,311882,38401,38401,3,1,2021.06.01 9:57,2021.08.17,2,2,1036,902
80,da,1688,127817,36327,36327,2,4,2021.06.01 9:58,2021.08.26,2,2,911,1029
81,se,4759,311883,37537,38225,2,1,2021.06.01 9:59,2021.08.01,4,4,2492,1037
82,da,4250,165715,35510,35510,3,1,2021.06.01 9:59,2021.10.08,2,2,900,0
83,se,610,297657,38046,38170,3,2,2021.06.01 10:01,2021.06.09,2,2,1033,1351
84,da,4420,311636,37195,37198,2,1,2021.06.01 10:03,2021.06.20,2,2,4981,1029
85,se,4750,311884,37331,38227,2,1,2021.06.01 10:05,2021.08.10,2,2,2549,625
86,se,6828,162624,35626,35885,2,1,2021.06.01 10:05,2021.06.08,2,2,2543,0
87,da,893,215406,36172,38080,3,1,2021.06.01 10:08,2021.08.02,2,2,4453,1029
88,se,1571,32536,36250,38208,2,1,2021.06.01 10:09,2021.06.23,2,2,4803,891
89,de,2813,311885,36426,36426,2,1,2021.06.01 10:09,2021.08.17,3,3,3774,1132
90,da,647,311886,37388,37388,2,1,2021.06.01 10:10,2021.06.12,2,2,2256,519
91,se,2758,311602,36869,36869,2,2,2021.06.01 10:10,2021.06.31,2,2,718,1037
92,da,2150,311887,38430,38430,2,1,2021.06.01 10:12,2021.06.21,3,3,4391,902
93,de,5870,306156,37165,37165,2,3,2021.06.01 10:13,2021.08.06,2,2,4680,1281
94,de,7844,311888,38359,38359,2,1,2021.06.01 10:13,2021.08.03,2,2,718,1281
95,se,7426,311682,35780,38166,2,2,2021.06.01 10:14,2021.06.05,4,4,984,385
96,de,2013,311890,35936,35936,3,1,2021.06.01 10:17,2021.06.04,2,2,3411,1034
97,de,2140,311891,35230,35230,3,1,2021.06.01 10:23,2021.06.04,2,2,1404,1132
98,da,830,305284,35903,36832,3,1,2021.06.01 10:25,2021.06.08,2,2,4782,1029
99,da,1191,21664,38353,38362,2,1,2021.06.01 10:25,2021.06.19,2,2,4510,902
100,da,1031,252235,36173,38099,4,2,2021.06.01 10:25,2021.08.09,2,2,4031,902
101,da,1377,267595,36205,37300,2,1,2021.06.01 10:26,2021.06.18,2,2,2156,561
102,da,1374,204302,37641,37767,2,1,2021.06.01 10:26,2021.08.16,2,2,4039,519
103,se,7426,300823,35780,38166,2,2,2021.06.01 10:26,2021.06.06,2,2,4135,625
104,se,6128,149845,38113,38149,4,1,2021.06.01 10:28,2021.06.26,2,2,4856,0
105,se,4630,77413,36730,36730,2,1,2021.06.01 10:30,2021.08.03,2,2,3276,906
106,de,301,311893,36117,38434,2,1,2021.06.01 10:32,2021.06.16,2,2,3628,0
107,da,1388,311834,36278,36278,2,2,2021.06.01 10:32,2021.06.12,4,4,2177,519
108,se,6828,311895,35626,35885,3,1,2021.06.01 10:33,2021.08.05,2,2,920,1086
109,da,647,158417,37388,37388,2,1,2021.06.01 10:35,2021.06.20,2,2,3305,519
110,da,2673,173598,37984,37984,2,1,2021.06.01 10:35,2021.06.11,2,2,1131,519
111,no,7672,147884,37774,37774,2,1,2021.06.01 10:38,2021.06.06,2,2,1324,651
112,da,3715,310514,35449,36935,2,2,2021.06.01 10:38,2021.06.05,2,2,2653,519
113,da,1665,311369,37737,37737,2,2,2021.06.01 10:39,2021.06.09,2,2,1314,319
114,da,391,311897,35577,35577,3,1,2021.06.01 10:42,2021.06.05,2,2,1006,519
115,se,5954,32536,37831,37831,2,1,2021.06.01 10:47,2021.06.25,2,2,1025,891
116,de,536,311285,35612,35612,2,2,2021.06.01 10:48,2021.06.17,2,2,3224,0
117,se,5670,311898,37634,37634,2,1,2021.06.01 10:48,2021.08.03,2,2,3341,625
118,se,3275,311899,35573,37401,1,1,2021.06.01 10:50,2021.06.27,2,2,1933,891
119,da,1456,250033,36527,37298,3,1,2021.06.01 10:50,2021.08.08,2,2,3323,519
120,se,5954,311900,37191,37615,2,1,2021.06.01 10:50,2021.08.08,2,2,3705,1113
121,no,5315,224205,37073,37073,2,1,2021.06.01 10:52,2021.06.25,2,2,683,1031
122,de,2464,287571,34960,34960,2,2,2021.06.01 10:52,2021.06.18,2,2,2040,1261
123,da,648,311901,37391,38414,2,1,2021.06.01 10:54,2021.06.19,2,2,1850,519
124,de,6055,311902,37370,37370,2,1,2021.06.01 10:55,2021.08.03,2,2,822,0
125,se,4759,225840,37537,38225,2,1,2021.06.01 10:55,2021.08.04,2,2,3801,906
126,se,505,10960,36029,36609,2,1,2021.06.01 10:57,2021.06.05,2,2,3548,905
127,se,995,207044,36601,36601,2,1,2021.06.01 10:58,2021.06.04,2,2,912,0
128,se,1322,311512,37383,38202,2,2,2021.06.01 10:58,2021.06.04,4,2,4485,1351
129,no,1952,289490,37905,38077,2,1,2021.06.01 10:59,2021.06.12,2,2,2230,0
130,da,3588,310200,37668,37668,2,1,2021.06.01 11:01,2021.06.06,1,1,3915,519
131,da,8030,310323,37447,37447,2,2,2021.06.01 11:01,2021.06.21,2,2,3516,140
132,se,654,311903,36297,36297,2,1,2021.06.01 11:01,2021.09.22,4,4,944,0
133,da,968,16341,38082,38100,2,1,2021.06.01 11:04,2021.08.23,2,2,4645,561
134,da,5974,72422,37972,37972,2,1,2021.06.01 11:05,2021.09.06,2,2,2553,140
135,da,1474,72422,38369,38397,2,1,2021.06.01 11:05,2021.09.08,2,2,4854,140
136,da,1374,311904,37641,37767,2,1,2021.06.01 11:05,2021.09.01,2,2,3951,1099
137,se,6828,311892,35626,35885,2,2,2021.06.01 11:06,2021.06.14,2,2,3434,1086
138,de,499,279247,37845,37845,3,1,2021.06.01 11:06,2021.06.17,2,2,2213,1258
139,se,1232,311905,37493,38192,2,1,2021.06.01 11:08,2021.06.09,2,2,1239,1037
140,se,3275,197836,35572,35572,2,1,2021.06.01 11:10,2021.10.01,11,11,3551,891
141,se,4759,310311,37537,38225,2,3,2021.06.01 11:10,2021.08.01,2,2,1726,1086
142,da,2360,61336,37179,37179,7,1,2021.06.01 11:11,2021.08.28,2,2,3365,761
143,de,1099,311084,36091,37441,3,4,2021.06.01 11:14,2021.08.09,2,2,3311,1034
144,da,2673,16341,37984,37984,2,1,2021.06.01 11:15,2021.08.25,2,2,2964,561
145,da,6864,311907,36857,36857,4,1,2021.06.01 11:15,2021.06.14,4,2,3692,0
146,da,966,4282,38061,38431,2,1,2021.06.01 11:16,2021.08.09,2,2,2218,0
147,no,4662,241547,36019,36019,3,1,2021.06.01 11:16,2021.06.20,2,2,4249,1030
148,da,1191,162995,38353,38362,2,1,2021.06.01 11:19,2021.06.28,2,2,2536,902
149,se,1232,311908,37493,38192,2,1,2021.06.01 11:19,2021.06.04,2,2,947,1086
150,se,6958,258652,35341,38148,2,1,2021.06.01 11:20,2021.06.04,2,2,1753,625
151,da,1191,260427,38353,38362,2,1,2021.06.01 11:20,2021.06.28,2,2,3274,902
152,da,3802,96584,36276,37565,3,1,2021.06.01 11:26,2021.08.08,2,2,4683,1103
153,no,8018,311909,37478,37478,3,1,2021.06.01 11:26,2021.06.08,2,2,4174,1031
154,da,3590,311910,35115,37711,2,1,2021.06.01 11:26,2021.08.25,4,4,3896,519
155,no,1952,311911,37905,38077,2,1,2021.06.01 11:27,2021.06.05,2,2,4309,1030
156,da,830,311912,35903,36832,2,1,2021.06.01 11:29,2021.08.12,2,2,4853,902
157,da,3804,217225,36813,37296,2,1,2021.06.01 11:30,2021.06.26,2,2,1250,519
158,no,3874,311913,36717,36717,2,1,2021.06.01 11:31,2021.06.13,2,2,3427,1121
159,se,6977,311914,36492,38143,3,1,2021.06.01 11:31,2021.06.17,2,2,3328,1113
160,se,5062,260375,36626,36651,2,1,2021.06.01 11:31,2021.06.12,2,2,3615,0
161,no,4662,311915,36019,36019,2,1,2021.06.01 11:35,2021.06.18,2,2,2275,1030
162,se,1429,179302,36048,38206,3,1,2021.06.01 11:35,2021.06.06,2,2,1028,0
163,da,966,311702,38061,38431,3,2,2021.06.01 11:35,2021.10.11,14,14,3163,902
164,se,1394,224283,36768,36768,2,1,2021.06.01 11:35,2021.08.18,2,2,4638,1037
165,se,1429,179302,36048,38206,3,1,2021.06.01 11:36,2021.06.06,2,2,3392,0
166,se,645,34738,37390,37390,2,1,2021.06.01 11:37,2021.06.12,2,2,4521,625
167,da,1170,43988,36099,37437,3,1,2021.06.01 11:38,2021.08.02,2,2,2228,519
168,de,3353,139537,35399,35399,2,2,2021.06.01 11:39,2021.08.18,2,2,925,1257
169,se,4759,311917,37537,38225,2,1,2021.06.01 11:40,2021.08.29,4,4,3331,1086
170,da,1474,258412,38369,38397,2,1,2021.06.01 11:41,2021.06.12,2,2,2507,519
171,se,5534,33912,35665,35665,4,1,2021.06.01 11:42,2021.06.11,2,2,3950,1037
172,da,1474,90553,38369,38397,2,1,2021.06.01 11:44,2021.08.04,2,2,4176,0
173,de,7844,311918,38359,38359,2,1,2021.06.01 11:44,2021.06.13,2,2,755,1281
174,da,4067,311919,38010,38011,2,1,2021.06.01 11:44,2021.06.09,2,2,4418,1029
175,de,2862,311920,36844,36844,2,1,2021.06.01 11:44,2021.06.02,1,1,4901,1034
176,se,4759,311921,37537,38225,3,1,2021.06.01 11:45,2021.08.01,1,1,961,0
177,se,6828,175055,35626,35885,2,1,2021.06.01 11:46,2021.06.08,2,2,2983,1086
178,da,2995,191170,35558,37354,2,1,2021.06.01 11:46,2021.08.10,4,4,3115,561
179,se,6514,193725,38323,38323,3,1,2021.06.01 11:47,2021.06.15,2,2,3058,1037
180,da,6828,302990,35626,35885,3,1,2021.06.01 11:48,2021.08.02,2,2,3316,519
181,se,4633,311924,35791,36175,2,1,2021.06.01 11:50,2021.08.18,2,2,1555,1037
182,da,1474,311923,38369,38397,2,1,2021.06.01 11:50,2021.06.12,3,2,4456,0
183,se,4893,311643,35783,38422,3,2,2021.06.01 11:55,2021.06.03,2,2,4017,1086
184,de,505,311926,36029,36609,6,1,2021.06.01 11:56,2021.06.14,2,2,2945,1034
185,se,610,311601,38046,38170,3,1,2021.06.01 11:56,2021.08.12,2,2,2813,1086
186,da,1769,302202,37205,37962,3,1,2021.06.01 11:58,2021.10.19,2,2,1142,561
187,da,1964,273622,35391,35397,3,1,2021.06.01 11:58,2021.06.25,2,2,2364,1100
188,da,1222,159951,33874,35927,2,1,2021.06.01 11:58,2021.08.19,2,2,3531,1313
189,da,884,311928,35385,38134,1,1,2021.06.01 11:59,2021.08.02,2,2,2296,561
190,se,2125,311723,36678,37032,2,2,2021.06.01 11:59,2021.06.06,4,4,1849,625
191,se,1394,269041,36816,36816,2,1,2021.06.01 11:59,2021.06.09,2,2,3521,1086
192,da,314,170525,36842,36842,2,1,2021.06.01 12:02,2021.08.04,1,1,1074,0
193,da,1474,170525,38369,38397,2,1,2021.06.01 12:02,2021.08.02,1,1,2521,0
194,da,2626,2451,34015,34015,2,1,2021.06.01 12:02,2021.08.10,2,2,1360,519
195,da,5588,104904,36695,37932,2,1,2021.06.01 12:05,2021.08.09,2,2,4773,1099
196,da,958,311930,35831,38366,3,1,2021.06.01 12:06,2021.06.20,2,2,3540,0
197,se,6021,311931,38347,38347,2,1,2021.06.01 12:07,2021.06.13,3,2,4275,0
198,da,3061,311932,36798,37362,2,1,2021.06.01 12:07,2021.08.16,2,2,578,519
199,de,7690,311934,35070,35340,3,1,2021.06.01 12:11,2021.08.30,2,2,1345,626
200,se,2112,304827,37034,38428,3,1,2021.06.01 12:12,2021.08.03,2,2,2451,891
201,da,3873,217225,36861,36861,2,1,2021.06.01 12:13,2021.06.28,2,2,2485,519
202,da,3626,311936,37338,38101,2,1,2021.06.01 12:14,2021.06.08,2,2,4092,0
203,se,846,311937,38058,38058,2,1,2021.06.01 12:14,2021.08.02,6,4,1606,891
204,se,6948,311939,36569,38152,2,1,2021.06.01 12:15,2021.08.06,4,4,1792,625
205,da,2995,311940,35558,37354,2,1,2021.06.01 12:17,2021.08.27,6,6,3007,519
206,da,1456,248710,36527,37298,2,1,2021.06.01 12:18,2021.06.05,2,2,1035,561
207,da,505,13680,36029,36609,4,1,2021.06.01 12:19,2021.06.30,4,4,727,1029
208,da,1170,115953,36099,37437,3,1,2021.06.01 12:19,2021.06.04,2,2,3283,0
209,da,301,311941,36117,38434,3,1,2021.06.01 12:20,2021.06.22,4,4,4623,0
210,da,2673,311942,37984,37984,2,1,2021.06.01 12:21,2021.06.06,4,4,2591,87
211,se,6514,25145,37585,38169,2,1,2021.06.01 12:26,2021.06.14,3,3,2621,0
212,da,1474,19401,38369,38397,2,1,2021.06.01 12:27,2021.06.24,2,2,2333,519
213,da,595,306073,36137,37804,3,2,2021.06.01 12:28,2021.08.23,8,8,3498,561
214,no,3052,311945,36422,36422,2,1,2021.06.01 12:29,2021.06.29,2,2,3088,1030
215,se,4599,311946,37010,37010,2,1,2021.06.01 12:30,2021.06.10,2,2,728,0
216,se,610,18292,38046,38170,3,1,2021.06.01 12:31,2021.06.02,2,2,3417,1114
217,de,2253,281933,36429,36429,2,1,2021.06.01 12:32,2021.08.20,2,2,1290,0
218,se,5470,311947,36493,38205,2,1,2021.06.01 12:32,2021.08.13,2,2,3493,1086
219,se,610,245674,38046,38170,3,1,2021.06.01 12:33,2021.09.01,4,4,1644,1086
220,da,1045,76608,36280,36280,1,1,2021.06.01 12:34,2021.08.11,2,2,2799,0
221,se,4368,311948,37635,37965,2,1,2021.06.01 12:35,2021.08.30,2,2,3658,1086
222,de,915,311949,36155,36155,2,1,2021.06.01 12:36,2021.08.01,2,2,628,1257
223,da,1140,44076,37494,37698,3,1,2021.06.01 12:36,2021.06.31,2,2,501,319
224,de,915,311949,36155,36155,2,1,2021.06.01 12:37,2021.08.03,2,2,4454,1257
225,da,648,47152,37391,38414,2,1,2021.06.01 12:40,2021.06.07,2,2,1554,1029
226,da,5437,260574,38349,38354,2,2,2021.06.01 12:44,2021.06.28,2,2,2568,1099
227,da,4274,53056,38036,38036,2,1,2021.06.01 12:46,2021.06.06,2,2,3267,0
228,da,3802,223885,36276,37565,2,3,2021.06.01 12:46,2021.06.26,2,2,2949,672
229,da,3078,310871,35820,38391,3,2,2021.06.01 12:49,2021.06.11,4,4,4549,519
230,da,3590,249326,35115,37711,2,1,2021.06.01 12:50,2021.06.31,2,2,4225,561
231,da,3590,311951,35115,37711,2,1,2021.06.01 12:51,2021.06.09,2,2,871,1313
232,da,301,76576,36117,38434,1,1,2021.06.01 12:55,2021.06.02,2,2,2658,1099
233,da,1474,311952,38369,38397,2,1,2021.06.01 12:56,2021.06.02,2,2,1217,0
234,se,6828,311953,35626,35885,2,1,2021.06.01 12:56,2021.08.08,2,2,3581,0
235,se,1571,311933,36250,38208,3,2,2021.06.01 12:57,2021.06.27,2,2,4526,385
236,da,884,311954,35385,38134,1,1,2021.06.01 12:58,2021.06.05,3,2,4749,319
237,se,2125,311955,36678,37032,3,1,2021.06.01 12:59,2021.06.06,3,2,2429,0
238,se,4759,311956,37537,38225,2,1,2021.06.01 12:59,2021.08.01,2,2,3177,0
239,se,1429,311955,36048,38206,2,1,2021.06.01 13:03,2021.06.04,3,2,1919,0
240,da,2673,311957,37984,37984,2,1,2021.06.01 13:05,2021.08.02,2,2,3045,902
241,da,1071,252803,38356,38356,2,2,2021.06.01 13:05,2021.06.19,2,2,2666,561
242,da,3226,311958,36332,37924,2,1,2021.06.01 13:06,2021.06.11,3,2,2518,519
243,da,416,61320,37446,37446,2,1,2021.06.01 13:08,2021.08.10,2,2,3293,0
244,se,2773,311959,36246,38234,2,1,2021.06.01 13:08,2021.06.17,4,4,3038,1037
245,da,2938,311960,29260,34061,3,1,2021.06.01 13:08,2021.06.06,2,2,3881,1100
246,da,3590,311961,35115,37711,2,1,2021.06.01 13:09,2021.06.26,3,3,3714,1331
247,se,505,242514,36029,36609,2,1,2021.06.01 13:10,2021.06.13,2,2,2390,1111
248,se,2401,294485,37535,38224,2,4,2021.06.01 13:12,2021.08.12,4,4,2428,1086
249,da,325,311962,36851,37052,2,1,2021.06.01 13:13,2021.06.12,2,2,3452,0
250,da,4113,311963,36489,36489,3,1,2021.06.01 13:15,2021.06.12,2,2,509,1099
251,da,937,63079,36640,36864,2,1,2021.06.01 13:16,2021.10.08,6,5,2626,0
252,de,1072,311966,36113,38424,2,1,2021.06.01 13:17,2021.11.12,5,5,1543,0
253,se,4759,311967,37537,38225,2,1,2021.06.01 13:17,2021.08.04,2,2,545,1086
254,de,4124,59843,37063,37063,2,1,2021.06.01 13:18,2021.06.07,4,4,1536,897
255,da,301,311968,36117,38434,2,1,2021.06.01 13:19,2021.06.29,3,3,2257,1029
256,se,3250,146273,36715,37848,2,1,2021.06.01 13:24,2021.06.05,2,2,521,1086
257,da,5215,122068,37945,37945,2,1,2021.06.01 13:25,2021.06.13,2,2,2688,0
258,se,6828,39056,35626,35885,3,2,2021.06.01 13:31,2021.08.08,2,2,4494,1086
259,da,5437,58904,38349,38354,2,2,2021.06.01 13:32,2021.06.16,2,2,1891,901
260,da,2681,187844,36245,36245,2,1,2021.06.01 13:34,2021.06.27,2,2,4437,1100
261,de,7690,305290,35070,35340,3,1,2021.06.01 13:35,2021.06.25,2,2,2362,1279
262,da,1140,237569,37494,37698,3,1,2021.06.01 13:36,2021.06.09,2,2,4702,561
263,se,5994,277948,38049,38193,2,2,2021.06.01 13:36,2021.06.12,2,2,589,0
264,da,1215,311972,36307,36307,2,1,2021.06.01 13:37,2021.09.24,9,9,4907,519
265,da,4420,237569,37194,37197,2,1,2021.06.01 13:39,2021.06.12,2,2,3697,561
266,da,884,311973,35385,38134,1,1,2021.06.01 13:40,2021.06.15,2,2,2425,1331
267,da,1191,311974,38353,38362,2,1,2021.06.01 13:41,2021.06.27,3,3,3871,0
268,da,995,163620,36601,36601,3,1,2021.06.01 13:42,2021.06.28,4,4,773,0
269,da,1191,201163,38353,38362,2,1,2021.06.01 13:42,2021.06.30,2,2,2536,0
270,da,1191,201163,38353,38362,2,1,2021.06.01 13:42,2021.08.01,2,2,932,0
271,da,314,197591,37043,37043,4,1,2021.06.01 13:44,2021.06.12,1,1,4942,901
272,no,1617,230799,36244,37541,2,1,2021.06.01 13:45,2021.06.16,4,4,1109,1121
273,da,3873,311976,36861,36861,2,1,2021.06.01 13:45,2021.06.20,2,2,1695,0
274,se,6828,311977,35626,35885,2,1,2021.06.01 13:46,2021.06.14,2,2,2943,625
275,da,645,311978,37390,37390,2,1,2021.06.01 13:46,2021.06.18,2,2,1367,0
276,da,1191,232688,38353,38362,2,1,2021.06.01 13:47,2021.06.30,2,2,3251,561
277,no,6706,306480,35797,35797,2,2,2021.06.01 13:48,2021.09.05,2,2,2991,908
278,da,995,311640,36601,36601,2,2,2021.06.01 13:53,2021.08.02,2,2,3527,1029
279,se,5062,311980,36626,36651,2,1,2021.06.01 13:54,2021.06.02,4,4,1281,990
280,se,6828,311981,35626,35885,2,1,2021.06.01 13:55,2021.08.08,2,2,3295,1086
281,da,505,181454,36029,36609,3,1,2021.06.01 13:56,2021.06.14,2,2,4826,0
282,se,6828,311982,35626,35885,2,1,2021.06.01 13:56,2021.08.13,2,2,1051,625
283,se,3636,24089,37827,38447,2,1,2021.06.01 14:00,2021.06.07,2,2,4230,891
284,no,4662,13555,36019,36019,2,1,2021.06.01 14:05,2021.06.07,2,2,2181,0
285,se,4759,311983,37537,38225,2,1,2021.06.01 14:07,2021.08.10,2,2,1888,1114
286,no,7651,311984,37346,38395,2,1,2021.06.01 14:09,2021.08.28,2,2,518,498
287,da,2127,170107,35958,38222,3,1,2021.06.01 14:09,2021.08.04,2,2,1607,1029
288,da,1505,29880,36282,37780,2,1,2021.06.01 14:10,2021.06.28,7,5,3640,0
289,se,325,311985,36851,37052,2,1,2021.06.01 14:11,2021.06.21,2,2,2960,905
290,no,7473,262432,37906,37906,2,1,2021.06.01 14:12,2021.08.03,2,2,1943,1031
291,se,4611,311986,37044,38233,3,1,2021.06.01 14:15,2021.08.24,2,2,3022,1114
292,no,3052,262432,36422,36422,2,1,2021.06.01 14:18,2021.08.05,2,2,783,1031
293,da,5713,311987,38351,38351,2,1,2021.06.01 14:18,2021.06.27,2,2,2463,1100
294,da,3226,310008,36332,37924,4,2,2021.06.01 14:18,2021.08.16,2,2,1529,519
